Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1
United States v Windsor*,570 U.S. 744,2013,"DOMA (The Defense of Marriage Act) says that according to federal law, marriage is only between a man and a woman-- but since then, some states have allowed same-sex marriage. Edith Windsor was legally married to Thea Spyer and their marriage was recognized by NY state law. Spyer left her estate to her spouse but Windsor had to pay a hefty tax because their marriage wasn't federally recognized. Windsor sued saying DOMA is unfair. The Supreme Court ruled 5-4 that the US gov can still have a say in the case, even if the executive branch agrees with the lower court about DOMA being unconstitutional. The Court also found that DOMA violates the Constitution by denying same-sex couples. DOMA (The Defense of Marriage Act) says that according to federal law, marriage is only between a man and a woman-- but since then, some states have allowed same-sex marriage. Edith Windsor was legally married to Thea Spyer and their marriage was recognized by NY state law. Spyer left her estate to her spouse but Windsor had to pay a hefty tax because their marriage wasn't federally recognized. Windsor sued saying DOMA is unfair. The Supreme Court ruled 5-4 that the US gov can still have a say in the case, even if the executive branch agrees with the lower court about DOMA being unconstitutional. The Court also found that DOMA violates the Constitution by denying same-sex couples.","Justice Scalia argued that the right to same-sex marriage is not deeply rooted in the nation's history and tradition. Scalia emphasized judivical caution when considering significant social changes to issues as huge as same-sex marriage. Recognizing same-sex marriage would represent an imposition of judicial will on the democratic process. Scalia argues that judges are ill-equipped to predict or evaluate the consequences of making big decisions about marriage, so the courts shouldn't interefere and that it should be left up to the people and their elected representatives. ",0,"Roberts, Scalia, Alito",3,1,5,-,due process ,2,-,0,0,0,Washington v. Glucksberg
Kerry v. Din,576 U.S. 86,2014,"Fauzia Din (a US citizen) filed a visa petittion for her husband who is a citizen of Afghanistan. The State Department denied the petition based on a broad provision of the Immigration and Nationality Act that excludes aliens on terrorism-related grounds. Her husband asked for clarification of the visa denial and was told it is not possible for the Embassy to provide him with a detailed explanation. Din sued, arguing that denying notice for aliens who weren't granted a visa based on grounds of terrorism is unconstitutional. ","The majority opinion says that to invoke ordered liberty, it is important to underscore judificial restraint and adherence to historical tradition in determining the scope of constitutional protections. No denial of due process was applied when a visa application is rejected without explanation. Oyez ""Although “liberty” has been construed to refer to fundamental rights, there is no precedent that supports the contention that the right to live with one’s spouse is such a fundamental right."" tldr-- the right to live with an alien spouse didn't past the history and tradition test",0,Scalia,1,1,5,-,due process ,2,-,0,0,0,Washington v. Glucksberg
Kingsley v. Hendrickson,576 U.S. 389,2014,"Kingsley, whow as being held as a pretrial detainee in the Monroe County Jail, was ordered to take a piece of paper over his bed--but he refused to do so. Because of his refusal, he was transferred to another cell-- to which he refused to act as ordered. Hendrickson (the sergeant) hurt him. Kingsley sued Hendrickson and other jail staff members and claimed that their actions violated his due process rights under the Fourteenth Amendment. ",Ordered liberty was used to determine whether a liberty asserted by Kingsley (right of pretrial detainees to be free from excessive force) qualified for protecion under substantive due process. The court determined that this liberty didn't meet the history and traditions test. ,0,"Scalia, Alito",3,1,5,-,due process,2,-,0,0,0,Washington v. Glucksberg
Obergefell v. Hodges,576 U.S. 644,2015,"14 same-sex couples & 2 men whose same-sex partners had passed sued Ohio, Tenessee, Michigan, and Kentucky in federal district courts for denying rights to marriage or not recognizing their lawful marriage from another state; federal district courts sided with plaintiffs, but were overturned in the sixth circuit; the questions are (1) do same-sex couples have a right to marriage in states under due process? and (2) do states have to recognize the same-sex couples' legal union under other states' laws","emphasizes the Glucksberg version of ordered liberty as the correct precedent to follow, including the history and traditions and implicit in ordered liberty tests",1,Roberts (Scalia and Thomas joins),3,1,-,-,equal protection,2,-,0,1,0,Washington v. Glucksberg
Sessions v. Dimaya,584 U.S. 148,2018,"a permanent resident of the US was convicted for burglary - under the INA non-citizens are subject to deportation for ""aggravated felonies"" defined as ""crimes of violence""; subsequent decisions ruled a similar clause of violence from the ACCA as too vague; ruled that the residual clause of the INA was ""void for vagueness"" under the vagueness doctrine","defends the vagueness doctrine as ""vital to ordered liberty"" in the spirit of the constitution and the principles reflected in founders' separation of powers",1,Gorsuch,2,1,-,5,due process,5,-,1,1,1,-
Timbs v. Indiana,139 S. Ct. 682,2019,"defendant used a land rover (purchased for 42,000) to transport heroin; after trial courts denied the state the ability to forfeit the vehicle under excessive fines as per the 8th amendment, state courts reversed on grounds that the 8th amendment was not incorporated against the states; on the question of incorporation of 8th amendment, the court affirmed",refers to McDonald's standards for incorporation of rights (similar to Glucksberg) as the proper approach for considering when guarantees from bill of rights should be incorporated,0,"Ginsberg (Roberts, Alito, Breyer, Sotomayor, Kagam, Gorsuch, Kavanagh)",1,1,8,-,excessive fines,2,1,1,1,1,McDonald v. City of Chicago
Rogers v. Grewal,140 S. Ct. 1865,2020,"a new jersey man was denied a permit to carry arms in public, unable to provide a justification/specific need; petition for judicial review on the constitutionality of new jersey carry laws was denied",references the critical relationship of arms rights to ordered liberty as established in McDonald as proof of the importance of such rights and as grounds for reviewing this case,1,Thomas (and Kavanaugh except for pt II),3,1,2,-,,1,-,1,0,-,McDonald v. City of Chicago
Jones v. Mississippi,141 S. Ct. 1307,2021,15-year old killed his grandfather and received mandatory life sentence --> appeal after mandatory life sentences for juveniles were struck down in scotus Miller case --> judge held life sentence as appropriate --> 2nd appeal with contention that the court had to have a separate finding of permanent incorrigibility to impose life sentence for juveniles; scotus denied,refers to the watershed test (considering if the existence of the rule during trial would have altered the results) in Teague of when a rule should be retroactively applied ; in Teague if the new rule is implicit to ordered liberty there are potential grounds for watershed claims,1,Thomas ,2,1,8,-,cruel & unusual punishment,5,-,0,0,0,Teague v. Lane
Edwards v. Vannoy,141 S. Ct. 1547,2021,"the defendant was convicted of roberry and rape and sentenced to life with 10-2 and 11-2 jury votes in Louisiana; the defendant's appeal for a right to a unanimous jury was rejected; afterward the court held in Ramos that there was a right to unanimous jury; on appeal to scotus, the court held that the unanimous jury rule does not retroactively apply on federal collateral review","references how watershed test uses the concept of ordered liberty to determine how ""fundamental"" a new procedural rule is",1,Gorsuch (Thomas joins),2,1,6,-,,5,-,1,0,0,Teague v. Lane
Edwards v. Vannoy,141 S. Ct. 1547,2021,"the defendant was convicted of roberry and rape and sentenced to life with 10-2 and 11-2 jury votes in Louisiana; the defendant's appeal for a right to a unanimous jury was rejected; afterward the court held in Ramos that there was a right to unanimous jury; on appeal to scotus, the court held that the unanimous jury rule does not retroactively apply on federal collateral review",a new rule's implicitness in ordered liberty determines whether it is watershed in nature; such as  if it is a pre-requisite to fairness,1,Kagan (Sotomayor & Breyer join),3,1,6,-,,5,-,1,0,1,Teague v. Lane
Dobbs v. Jackson Women's Health Clinic,597 U.S. 215,2022,I have this written in the og doc,I have this written in the og doc,0,Alito,1,1,4,-,unenumerated,2,1,0,0,0,"Washington v. Glucksberg,Timbs v. Indiana"
Dobbs v. Jackson Women's Health Clinic,597 U.S. 215,2022,I have this written in the og doc,I have this written in the og doc,0,Kavanaugh,2,1,4,-,unenumerated,2,-,0,0,0,"Washington v. Glucksberg,Timbs v. Indiana"
Dobbs v. Jackson Women's Health Clinic,597 U.S. 215,2022,I have this written in the og doc,I have this written in the og doc,0,Thomas,2,1,4,-,unenumerated,2,-,0,0,0,"Washington v. Glucksberg,Timbs v. Indiana"
